fold_id,feature,feature_group,gain_importance,split_importance
8,emb_1095d_median_days_diff,embedding_reranker_comparable,1054594.9067230225,992.0
8,emb_1095d_median_price,embedding_reranker_comparable,663745.697341919,669.0
8,emb_1095d_median_similarity,embedding_reranker_comparable,554212.6418914795,593.0
8,emb_1095d_nearest_price,embedding_reranker_comparable,1377248.812034607,991.0
8,emb_1095d_std_price,embedding_reranker_comparable,1272088.213432312,1113.0
8,emb_1095d_weighted_mean_price,embedding_reranker_comparable,33399973.971343994,1007.0
8,emb_730d_count,embedding_reranker_comparable,0.0,0.0
8,emb_730d_max_reranker_score,embedding_reranker_comparable,1242497.1295928955,910.0
8,emb_730d_max_similarity,embedding_reranker_comparable,496645.87474823,561.0
8,emb_730d_mean_price,embedding_reranker_comparable,494018.8846588135,539.0
8,emb_730d_mean_reranker_score,embedding_reranker_comparable,712182.0632095337,623.0
8,emb_730d_mean_similarity,embedding_reranker_comparable,491043.7217178345,515.0
8,emb_730d_median_age_diff,embedding_reranker_comparable,1216706.6940917969,941.0
8,emb_730d_median_area_diff_pct,embedding_reranker_comparable,830368.7893371582,909.0
8,emb_730d_median_days_diff,embedding_reranker_comparable,855285.2098464966,899.0
8,emb_730d_median_price,embedding_reranker_comparable,592693.9786071777,614.0
8,emb_730d_median_similarity,embedding_reranker_comparable,511110.52697753906,580.0
8,emb_730d_nearest_price,embedding_reranker_comparable,1044750.9651794434,877.0
8,emb_730d_std_price,embedding_reranker_comparable,1247115.4329071045,1073.0
8,emb_730d_weighted_mean_price,embedding_reranker_comparable,30171111.608322144,819.0
8,floor,basic_housing,3293016.445915222,956.0
8,floor_ratio,basic_housing,741118.2102661133,711.0
8,has_elevator,basic_housing,61460.112869262695,29.0
8,has_management,basic_housing,135639.91317749023,101.0
8,has_parking,basic_housing,749380.978302002,199.0
8,is_basement,basic_housing,0.0,0.0
8,land_area_m2,basic_housing,2442580.5096588135,1907.0
8,living_rooms,basic_housing,378800.97217559814,255.0
8,main_building_area_m2,basic_housing,1631595.9578704834,1371.0
8,main_building_area_ping,basic_housing,273990.50115966797,247.0
8,main_use_missing,note_or_quality_flags,25950.21597290039,18.0
8,material,location_time,743667.8307266235,292.0
8,multi_floor,basic_housing,199527.53326416016,110.0
8,parking_area_m2,basic_housing,2111271.232116699,1052.0
8,physical_condition_flag,note_or_quality_flags,256425.1273803711,158.0
8,renovation_flag,note_or_quality_flags,31626.242904663086,58.0
8,rooms,basic_housing,1139824.0296707153,535.0
8,total_floor,basic_housing,1410968.4601211548,1026.0
8,trade_month,location_time,267565.232460022,298.0
8,trade_quarter,location_time,115355.94273376465,121.0
8,trade_year,location_time,107944.36094665527,137.0
8,trade_yq,location_time,198919.14408874512,240.0
9,auxiliary_area_m2,basic_housing,1544014.0843963623,1128.0
9,balcony_area_m2,basic_housing,1461662.6412200928,1285.0
9,bathrooms,basic_housing,283185.4587402344,226.0
9,broad_note_flag,note_or_quality_flags,83604.41577148438,80.0
9,building_age,basic_housing,4253062.074508667,2304.0
9,building_age_missing,basic_housing,84035.22897338867,48.0
9,building_area_m2,basic_housing,1862298.3549423218,1360.0
9,building_area_ping,basic_housing,333137.6229248047,278.0
9,building_type,location_time,103480.93643188477,93.0
9,comp_365d_count,rule_based_comparable,0.0,0.0
9,comp_365d_mean_price,rule_based_comparable,532122.9198608398,480.0
9,comp_365d_median_age_diff,rule_based_comparable,1276256.1488494873,1041.0
9,comp_365d_median_area_diff_pct,rule_based_comparable,741263.6215667725,808.0
9,comp_365d_median_days_diff,rule_based_comparable,845385.7700881958,920.0
9,comp_365d_median_distance,rule_based_comparable,839932.0250244141,767.0
9,comp_365d_median_price,rule_based_comparable,721847.5018615723,675.0
9,comp_365d_nearest_distance,rule_based_comparable,872874.7896347046,863.0
9,comp_365d_nearest_price,rule_based_comparable,1275407.4531173706,928.0
9,comp_365d_std_price,rule_based_comparable,1243596.4434509277,1089.0
9,comp_365d_weighted_mean_price,rule_based_comparable,16514780.719543457,500.0
9,comp_730d_count,rule_based_comparable,0.0,0.0
9,comp_730d_mean_price,rule_based_comparable,45150013.91872406,611.0
9,comp_730d_median_age_diff,rule_based_comparable,1488426.39793396,1158.0
9,comp_730d_median_area_diff_pct,rule_based_comparable,940523.2495727539,964.0
9,comp_730d_median_days_diff,rule_based_comparable,897707.6854095459,937.0
9,comp_730d_median_distance,rule_based_comparable,783163.7498397827,719.0
9,comp_730d_median_price,rule_based_comparable,2669086.4487609863,667.0
9,comp_730d_nearest_distance,rule_based_comparable,861311.232711792,824.0
9,comp_730d_nearest_price,rule_based_comparable,1855338.5242843628,987.0
9,comp_730d_std_price,rule_based_comparable,1696181.2978744507,1359.0
9,comp_730d_weighted_mean_price,rule_based_comparable,105780742.36380005,880.0
9,district,location_time,662927.2682113647,493.0
9,district_count_180d,time_aware_market,933641.5151138306,926.0
9,district_median_price_180d,time_aware_market,1518057.1348953247,890.0
9,district_median_price_365d,time_aware_market,1229855.8096313477,854.0
9,district_price_change_180_365,time_aware_market,862434.7166976929,1004.0
9,district_type_count_180d,time_aware_market,742011.7878952026,759.0
9,district_type_median_price_180d,time_aware_market,931357.3622207642,722.0
9,district_type_median_price_365d,time_aware_market,913451.1489181519,690.0
9,district_type_price_change_180_365,time_aware_market,994753.4272003174,1160.0
9,emb_1095d_count,embedding_reranker_comparable,0.0,0.0
9,emb_1095d_max_reranker_score,embedding_reranker_comparable,1235421.4673614502,929.0
9,emb_1095d_max_similarity,embedding_reranker_comparable,576506.1005401611,620.0
9,emb_1095d_mean_price,embedding_reranker_comparable,848555.7767715454,589.0
9,emb_1095d_mean_reranker_score,embedding_reranker_comparable,735332.8482818604,696.0
9,emb_1095d_mean_similarity,embedding_reranker_comparable,564651.5552825928,588.0
9,emb_1095d_median_age_diff,embedding_reranker_comparable,1129912.549156189,942.0
9,emb_1095d_median_area_diff_pct,embedding_reranker_comparable,893633.291557312,907.0
9,emb_1095d_median_days_diff,embedding_reranker_comparable,1033894.3330230713,989.0
9,emb_1095d_median_price,embedding_reranker_comparable,618968.5751800537,662.0
9,emb_1095d_median_similarity,embedding_reranker_comparable,515760.6662750244,561.0
9,emb_1095d_nearest_price,embedding_reranker_comparable,1509664.6737365723,954.0
9,emb_1095d_std_price,embedding_reranker_comparable,1208619.3651657104,1161.0
9,emb_1095d_weighted_mean_price,embedding_reranker_comparable,40431860.3013916,1021.0
9,emb_730d_count,embedding_reranker_comparable,0.0,0.0
9,emb_730d_max_reranker_score,embedding_reranker_comparable,1153126.9106063843,894.0
9,emb_730d_max_similarity,embedding_reranker_comparable,567631.9867858887,647.0
9,emb_730d_mean_price,embedding_reranker_comparable,416836.3902130127,483.0
9,emb_730d_mean_reranker_score,embedding_reranker_comparable,798780.8946533203,683.0
9,emb_730d_mean_similarity,embedding_reranker_comparable,564516.2681350708,566.0
9,emb_730d_median_age_diff,embedding_reranker_comparable,1155405.6930389404,947.0
9,emb_730d_median_area_diff_pct,embedding_reranker_comparable,970873.6348876953,1003.0
9,emb_730d_median_days_diff,embedding_reranker_comparable,886301.1689376831,978.0
9,emb_730d_median_price,embedding_reranker_comparable,658747.2666397095,683.0
9,emb_730d_median_similarity,embedding_reranker_comparable,514147.06672668457,552.0
9,emb_730d_nearest_price,embedding_reranker_comparable,1243317.842300415,951.0
9,emb_730d_std_price,embedding_reranker_comparable,1263778.5228118896,1094.0
9,emb_730d_weighted_mean_price,embedding_reranker_comparable,20806247.49784851,796.0
9,floor,basic_housing,3339281.5278778076,896.0
9,floor_ratio,basic_housing,839600.1006317139,729.0
9,has_elevator,basic_housing,61462.66647338867,22.0
9,has_management,basic_housing,160355.91352844238,118.0
9,has_parking,basic_housing,722146.9498596191,188.0
9,is_basement,basic_housing,0.0,0.0
9,land_area_m2,basic_housing,2418462.499633789,1839.0
9,living_rooms,basic_housing,400303.50562286377,266.0
9,main_building_area_m2,basic_housing,1685477.5920944214,1397.0
9,main_building_area_ping,basic_housing,409673.950592041,318.0
9,main_use_missing,note_or_quality_flags,15215.956115722656,14.0
9,material,location_time,550210.1158294678,265.0
9,multi_floor,basic_housing,186882.38208007812,111.0
9,parking_area_m2,basic_housing,2033468.4029464722,1010.0
9,physical_condition_flag,note_or_quality_flags,276304.13066101074,183.0
9,renovation_flag,note_or_quality_flags,28128.59423828125,50.0
9,rooms,basic_housing,1104078.022140503,460.0
9,total_floor,basic_housing,1302409.6060638428,961.0
9,trade_month,location_time,246921.01792144775,314.0
9,trade_quarter,location_time,101732.7621459961,128.0
9,trade_year,location_time,106592.20802307129,119.0
9,trade_yq,location_time,210524.5555114746,239.0
10,auxiliary_area_m2,basic_housing,1639318.9374542236,1162.0
10,balcony_area_m2,basic_housing,1554534.3893737793,1340.0
10,bathrooms,basic_housing,341138.41481018066,245.0
10,broad_note_flag,note_or_quality_flags,77877.34501647949,81.0
10,building_age,basic_housing,4584435.285079956,2423.0
10,building_age_missing,basic_housing,85269.02322387695,47.0
10,building_area_m2,basic_housing,2018022.1925811768,1406.0
10,building_area_ping,basic_housing,379422.1552886963,307.0
10,building_type,location_time,85225.061668396,90.0
10,comp_365d_count,rule_based_comparable,0.0,0.0
10,comp_365d_mean_price,rule_based_comparable,663446.3157653809,530.0
10,comp_365d_median_age_diff,rule_based_comparable,1176234.9680252075,1064.0
10,comp_365d_median_area_diff_pct,rule_based_comparable,705022.3906555176,808.0
